X0 X1 X2
X1 X3 X4
X2 X5 X6
X3 X7 X8
X4 X9 X10
X5 X11 X12
X6 X13 X14
X7 X15 X16
X8 X17 X18
X9 X19 X20
X10 X21 X22
X11 X23 X24
X12 X25 X26
X13 X27 X28
X14 X29 X30
X15 X31 X32
X16 X33 X34
X17 X35 X36
X18 X37 X38
X19 X39 X40
X20 X41 X42
X21 X43 X44
X22 X45 X46
X23 X47 X48
X24 X49 X50
X25 X51 X52
X26 X53 X54
X27 X55 X56
X28 X57 X58
X29 X59 X60
X30 X61 X62
X31 25 26
X32 25 27
X33 24 25
X34 28 28
X35 27 28
X36 30 30
X37 27 28
X38 30 31
X39 24 26
X40 26 26
X41 26 26
X42 26 28
X43 27 27
X44 29 29
X45 29 31
X46 34 34
X47 24 27
X48 27 28
X49 25 26
X50 28 29
X51 26 26
X52 28 30
X53 27 28
X54 29 32
X55 25 27
X56 27 30
X57 29 31
X58 31 32
X59 27 30
X60 30 30
X61 27 28
X62 30 32
